augmentation,preprocessing,raw_accuracy,corrected_accuracy,raw_avg_similarity,corrected_avg_similarity
none,gray,0.5625,0.5625,0.7751,0.7535
none,resize,0.6875,0.6875,0.7946,0.7957
none,gray_resize,0.6875,0.625,0.7912,0.7677
none,blur,0.625,0.625,0.7833,0.7609
none,threshold,0.625,0.625,0.7729,0.7321
none,adaptive,0.375,0.375,0.5193,0.5351
none,blur_threshold,0.5625,0.5625,0.7356,0.74
rotate,gray,0.5625,0.5,0.7202,0.7196
rotate,resize,0.5,0.4375,0.6618,0.6587
rotate,gray_resize,0.625,0.625,0.7591,0.7405
rotate,blur,0.5625,0.625,0.7435,0.7738
rotate,threshold,0.5625,0.5,0.7351,0.7156
rotate,adaptive,0.4375,0.3125,0.5238,0.5182
rotate,blur_threshold,0.5625,0.5625,0.6554,0.6741
noise,gray,0.625,0.625,0.7927,0.7545
noise,resize,0.5,0.4375,0.7793,0.6978
noise,gray_resize,0.5625,0.5625,0.7646,0.7304
noise,blur,0.625,0.625,0.7697,0.7552
noise,threshold,0.625,0.625,0.7342,0.6799
noise,adaptive,0.375,0.4375,0.618,0.6337
noise,blur_threshold,0.625,0.5625,0.7073,0.6865
scale,gray,0.625,0.625,0.7926,0.7706
scale,resize,0.5625,0.5625,0.7819,0.7179
scale,gray_resize,0.625,0.5625,0.795,0.7448
scale,blur,0.6875,0.75,0.8094,0.7979
scale,threshold,0.6875,0.5625,0.7905,0.7553
scale,adaptive,0.375,0.1875,0.378,0.3421
scale,blur_threshold,0.5625,0.5,0.7304,0.6878
rotate_noise,gray,0.5625,0.5625,0.7147,0.6949
rotate_noise,resize,0.5625,0.5,0.735,0.7068
rotate_noise,gray_resize,0.5,0.4375,0.6913,0.6953
rotate_noise,blur,0.5625,0.5625,0.7238,0.7226
rotate_noise,threshold,0.5,0.5,0.6517,0.6211
rotate_noise,adaptive,0.5,0.3125,0.5655,0.521
rotate_noise,blur_threshold,0.5625,0.4375,0.6476,0.6123
